key,score,repeat,average
slivers,26.7,3,8.9
daughters,26.1,3,8.700000000000001
hd,6.5,1,6.5
eye,365.4,42,8.7
meg,96.3,11,8.754545454545454
mon,209.4,26,8.053846153846154
agreeable,9.4,1,9.4
spidos,9.3,1,9.3
amazingggg,8.2,1,8.2
risoto,9.4,1,9.4
urdun,9.4,1,9.4
buildings,18.4,2,9.2
scoff,8.8,1,8.8
blintze,9.1,1,9.1
frattastic,6.9,1,6.9
creations,222.4,25,8.896
identificou,9.1,1,9.1
twists,35.2,4,8.8
yemeden,9.3,1,9.3
cory,7.3,1,7.3
situated,7.2,1,7.2
remiss,9.3,1,9.3
coffes,8.6,1,8.6
bowery,172.3,21,8.204761904761906
loudest,9.0,1,9.0
curate,9.2,1,9.2
shacktoberfest,9.4,1,9.4
ensue,8.6,1,8.6
currants,27.1,3,9.033333333333333
festive,36.4,4,9.1
martin,78.4,9,8.711111111111112
reeeeeal,8.8,1,8.8
maple,398.3,47,8.474468085106384
fantastici,9.1,1,9.1
tigre,8.7,1,8.7
soir,9.6,1,9.6
picture,94.1,11,8.554545454545455
cheece,8.7,1,8.7
christmas,84.3,10,8.43
wanton,14.6,2,7.3
gnocchi,265.5,35,7.585714285714285
black,2054.7,239,8.597071129707112
gochujang,8.8,1,8.8
format,70.6,8,8.825
consistency,123.2,14,8.8
isn,1072.7,132,8.126515151515152
mangiando,9.5,1,9.5
ouch,35.5,4,8.875
dutchesses,9.4,1,9.4
backup,9.4,1,9.4
chulo,9.4,1,9.4
tillman,9.2,2,4.6
gangster,132.3,15,8.82
tricolore,9.2,1,9.2
horchatas,18.4,2,9.2
lols,6.8,1,6.8
safer,6.6,1,6.6
cappuccinos,214.2,25,8.568
overbearing,24.5,3,8.166666666666666
hoping,60.4,7,8.628571428571428
cubana,27.3,3,9.1
maiitake,9.2,1,9.2
alain,7.8,1,7.8
shortest,63.4,7,9.057142857142857
porcelain,17.2,2,8.6
pinenut,72.2,8,9.025
shelf,18.4,2,9.2
netflixlunch,8.8,1,8.8
lezzetler,9.3,1,9.3
todos,105.4,12,8.783333333333333
ale,278.3,34,8.185294117647059
urge,41.3,5,8.26
barbuto,9.4,1,9.4
rejeki,9.0,1,9.0
golds,9.6,1,9.6
blehhhh,9.3,1,9.3
forgetful,9.3,1,9.3
eh,111.3,14,7.95
estimate,18.3,2,9.15
pollock,9.1,1,9.1
linea,8.7,1,8.7
tinto,9.5,1,9.5
burge,7.5,1,7.5
stanton,17.2,2,8.6
diverse,53.1,6,8.85
carbonara,277.4,31,8.948387096774193
minuscule,18.4,2,9.2
locations,361.4,43,8.404651162790698
cobb,116.7,17,6.864705882352942
telling,129.3,15,8.620000000000001
underwhelming,102.3,12,8.525
suitable,17.7,2,8.85
cia,53.4,6,8.9
testicles,16.8,2,8.4
adorable,208.0,24,8.666666666666666
meyve,9.2,1,9.2
norwich,18.6,2,9.3
buri,17.4,2,8.7
cecilio,7.7,1,7.7
organic,1020.7,120,8.505833333333333
junk,60.3,7,8.614285714285714
frostea,23.4,3,7.8
enfin,7.8,1,7.8
sandies,8.6,1,8.6
cactus,9.3,1,9.3
complete,181.7,21,8.652380952380952
hangout,130.3,16,8.14375
ahhh,26.6,3,8.866666666666667
pulinos,9.1,1,9.1
waverly,16.8,2,8.4
fund,9.4,1,9.4
happened,125.3,15,8.353333333333333
reservar,45.4,5,9.08
system,167.3,21,7.966666666666667
economie,7.1,1,7.1
chickalicious,9.2,1,9.2
estudando,8.1,1,8.1
earth,229.4,26,8.823076923076924
vakit,9.3,1,9.3
spetacular,9.4,1,9.4
quinoa,412.7,48,8.597916666666666
aime,8.9,1,8.9
yuzu,237.1,27,8.781481481481482
unimpressed,31.9,4,7.975
qualify,9.0,1,9.0
encountered,62.3,8,7.7875
gyllenhaal,9.2,1,9.2
amore,9.3,1,9.3
reins,8.4,1,8.4
executado,9.4,1,9.4
secretive,9.4,1,9.4
restock,9.0,1,9.0
em,406.3,50,8.126
tiki,18.2,2,9.1
parlour,9.2,1,9.2
yummylicious,8.3,1,8.3
buyback,6.5,1,6.5
raviolo,18.4,2,9.2
greasy,320.7,38,8.439473684210526
caliber,25.2,3,8.4
shine,52.1,6,8.683333333333334
ntico,8.8,1,8.8
northern,16.6,2,8.3
tsukune,34.4,4,8.6
hibiscus,455.4,53,8.592452830188678
announce,18.6,2,9.3
hanabi,27.4,3,9.133333333333333
margs,69.6,13,5.3538461538461535
gizzards,41.2,7,5.885714285714286
pimp,1080.9,128,8.44453125
survey,8.9,1,8.9
mascot,8.8,1,8.8
neuvo,9.4,1,9.4
messing,8.9,1,8.9
tatziki,8.0,1,8.0
belgian,107.7,13,8.284615384615385
dimensions,8.7,1,8.7
bittman,9.2,1,9.2
alabama,18.4,2,9.2
affinity,6.9,1,6.9
ahhhhh,9.1,1,9.1
discoveries,8.3,1,8.3
mekyabetsu,9.4,1,9.4
eerily,6.8,1,6.8
oficina,9.3,1,9.3
secluded,9.1,1,9.1
glover,9.3,1,9.3
loyalty,114.2,14,8.157142857142857
tomate,18.3,2,9.15
frattiest,6.9,1,6.9
cleaning,16.2,2,8.1
tekedek,8.7,1,8.7
cannelloni,9.5,1,9.5
age,85.4,10,8.540000000000001
shoga,8.5,1,8.5
chee,36.1,4,9.025
pretensioso,9.3,1,9.3
lively,341.3,39,8.751282051282052
unpacked,9.1,1,9.1
sabashio,8.5,1,8.5
griego,9.4,1,9.4
table,3461.3,423,8.18274231678487
favorite,5412.3,629,8.604610492845786
grote,9.4,1,9.4
padded,8.8,1,8.8
cronuts,9.2,1,9.2
strawcake,8.9,1,8.9
mal,45.4,5,9.08
slams,8.1,1,8.1
slurpee,8.3,1,8.3
richness,25.4,3,8.466666666666667
omggg,9.1,1,9.1
omikase,8.6,1,8.6
porn,86.3,10,8.629999999999999
locoo,9.3,1,9.3
madeleine,9.4,1,9.4
headgear,9.1,1,9.1
genijalan,9.5,1,9.5
stocked,88.3,10,8.83
bottle,574.7,67,8.577611940298508
empty,373.2,45,8.293333333333333
moonen,18.1,2,9.05
minneapolis,9.3,1,9.3
afternoon,707.4,84,8.42142857142857
chemo,8.7,1,8.7
reiner,18.3,2,9.15
coney,33.3,4,8.325
plain,837.3,97,8.631958762886597
lacked,104.2,12,8.683333333333334
zeldi,18.3,3,6.1000000000000005
crossbones,8.9,1,8.9
matzoh,106.3,12,8.858333333333333
automatic,17.3,2,8.65
hana,8.6,1,8.6
stein,18.4,2,9.2
